scientific_name,common_name,city,state,latitude_coordinate,longitude_coordinate,diameter_breast_height_cm,height_m,native,avg_dbh_growth,carbon_fraction,survival_rate
Ficus benjamina,Weeping Fig,San Jose,California,37.38417646,-121.8665667,5.08,16.4042,introduced,1.9,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.37848962,-121.8718556,10.16,49.2126,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39619265,-121.8832147,33.02,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.396298,-121.8832439,35.56,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39554058,-121.8831669,38.1,114.8294,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.43017177,-121.9687089,17.78,32.8084,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.43018885,-121.9686829,17.78,32.8084,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.35941105,-121.914083,33.02,82.021,introduced,1.8,0.46,0.86
Melia azedarach,Persian Lilac,San Jose,California,37.35861266,-121.9083358,20.32,65.6168,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.35863612,-121.9083515,17.78,65.6168,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.35865552,-121.9083652,27.94,65.6168,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.35869427,-121.9083955,25.4,65.6168,introduced,2.0,0.45,0.87
Melia azedarach,Persian Lilac,San Jose,California,37.35418453,-121.8995809,55.88,98.4252,introduced,2.0,0.45,0.87
Celtis australis,European Nettle Tree,San Jose,California,37.39395995,-121.8872465,17.78,65.6168,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39384176,-121.8871022,22.86,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.393751,-121.8870377,25.4,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39366219,-121.8869896,20.32,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39356018,-121.8869549,20.32,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39347133,-121.8869096,27.94,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39339138,-121.8868507,27.94,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39330289,-121.8867781,27.94,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39313668,-121.8866411,25.4,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39304813,-121.8865712,25.4,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39297041,-121.8865069,20.32,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39288839,-121.8864398,27.94,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39280433,-121.886359,17.78,65.6168,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39271144,-121.886289,22.86,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39264243,-121.8862276,25.4,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.3925518,-121.8861495,22.86,114.8294,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39248052,-121.8860935,22.86,98.4252,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.3923964,-121.8860209,20.32,82.021,introduced,1.8,0.46,0.86
Celtis australis,European Nettle Tree,San Jose,California,37.39232299,-121.8859622,20.32,65.6168,introduced,1.8,0.46,0.86
